,codcliente,index
1,6,0
2,13,4
3,16,3
4,23,0
5,28,7.5
6,30,10.2
7,31,4.67
8,32,10.83
9,41,0
10,44,7
11,45,3.8
12,55,4.38
13,63,19
14,68,5.17
15,77,3.67
16,78,4.67
17,80,4.14
18,82,4.2
19,89,3
20,90,0
21,91,4.2
22,94,2.56
23,99,0
24,106,3.35
25,111,3.83
26,113,7.2
27,118,4.62
28,120,5.86
29,137,3.33
30,142,4.25
31,148,5.09
32,151,10.5
33,153,6.22
34,164,3.57
35,166,3.82
36,169,0
37,171,3
38,173,7.1
39,177,3.33
40,178,6.33
41,180,6.45
42,181,7.12
43,182,0
44,183,0
45,184,4.86
46,185,5.22
47,186,8.25
48,188,12
49,192,3.5
50,193,6.25
51,197,4.33
52,199,4.25
53,201,9.17
54,206,11.4
55,210,5.46
56,212,4.2
57,220,0
58,221,1
59,223,4.25
60,233,5
61,241,0
62,248,0
63,250,5.67
64,255,5.38
65,261,6.56
66,262,8.25
67,265,0
68,275,0
69,278,0
70,282,5.42
71,287,5.33
72,293,3.56
73,302,4.14
74,306,10.33
75,317,5
76,319,0
77,320,0
78,323,0
79,324,3.83
80,329,0
81,340,8.18
82,356,4
83,359,8.4
84,367,3.88
85,372,2.41
86,376,5.92
87,382,6.71
88,394,3.69
89,395,3.2
90,396,5.33
91,399,3.83
92,411,0
93,412,6
94,413,0
95,427,3.83
96,440,0
97,445,0
98,448,5.14
99,449,3
100,450,0
101,452,4
102,455,1
103,459,0
104,461,4
105,474,12.67
106,475,5.88
107,479,0
108,483,7.25
109,485,8.67
110,489,10.5
111,490,0
112,492,2.86
113,496,0
114,498,7.67
115,499,0
116,505,0
117,506,7
118,507,4
119,510,7.7
120,511,0
121,513,3.33
122,526,3.67
123,527,6.8
124,528,0
125,529,3.96
126,530,0
127,533,0
128,535,7.67
129,537,0
130,549,2
131,559,3
132,562,5.25
133,564,0
134,567,9
135,570,3.38
136,582,3.75
137,604,0
138,607,4.55
139,608,0
140,611,3.25
141,613,6.43
142,618,4
143,620,4
144,622,0
145,631,0
146,636,4.76
147,642,0
148,644,0
149,646,5
150,647,0
151,652,4.44
152,658,0
153,659,0
154,665,0
155,667,0
156,668,3.33
157,669,12.38
158,674,6.33
159,679,4.33
160,685,0
161,689,4.4
162,690,7.3
163,692,3.67
164,693,6.2
165,695,4.53
166,699,17.75
167,703,17
168,705,2.6
169,706,5.15
170,712,2.64
171,717,7.92
172,718,16.25
173,720,0
174,721,4.33
175,724,2.75
176,729,3.67
177,738,0
178,751,1
179,754,0
180,759,0
181,763,4.83
182,776,5
183,777,0
184,779,7.68
185,785,2.8
186,791,2
187,793,2.8
188,795,5.9
189,797,3.33
190,800,8
191,803,4.83
192,809,4.3
193,810,3.5
194,815,0
195,816,4.46
196,817,14.75
197,820,4.33
198,823,2.67
199,824,3.22
200,826,2.83
201,828,0
202,829,13.33
203,831,0
204,834,6
205,840,4.5
206,841,3.22
207,842,5.5
208,846,4.2
209,847,8.6
210,849,6.25
211,850,4.24
212,851,2.38
213,852,3.5
214,853,0
215,855,2.78
216,858,3
217,859,0
218,861,6.05
219,865,3.33
220,869,3.5
221,879,5
222,884,9.82
223,885,3.5
224,887,8.79
225,890,0
226,895,5.07
227,904,0
228,907,3.33
229,909,3.67
230,918,4.83
231,921,0
232,924,2.7
233,930,5.1
234,933,9.4
235,935,5.77
236,941,5
237,946,4.83
238,948,0
239,962,2.5
240,969,5
241,973,5
242,975,5
243,978,0
244,984,3.33
245,995,4.72
246,998,4.67
247,1016,0
248,1019,7.67
249,1030,9.56
250,1036,3.72
251,1042,8.25
252,1047,4.75
253,1049,6.8
254,1053,5.45
255,1054,5
256,1062,4.33
257,1064,0
258,1068,2.75
259,1078,5.5
260,1081,3.25
261,1082,7.33
262,1089,3.33
263,1094,4.21
264,1096,8.33
265,1099,0
266,1109,3.7
267,1122,2.4
268,1125,5
269,1128,11
270,1130,6.33
271,1133,0
272,1134,7.75
273,1142,0
274,1148,5.47
275,1149,0
276,1152,0
277,1156,11.47
278,1171,0
279,1175,7.67
280,1178,4.57
281,1181,0
282,1185,1
283,1187,7.75
284,1191,5.62
285,1201,7.45
286,1202,0
287,1203,3.75
288,1204,5.62
289,1212,4.95
290,1213,8.64
291,1217,2.91
292,1225,3
293,1227,0
294,1231,2.83
295,1232,5.2
296,1234,4.5
297,1240,4.25
298,1242,5.62
299,1243,3
300,1247,5.33
301,1251,5.5
302,1252,1
303,1259,8.33
304,1260,8.4
305,1261,8.25
306,1267,5.14
307,1276,3.47
308,1277,8.2
309,1278,0
310,1280,4.5
311,1281,4.45
312,1286,5.5
313,1287,5.22
314,1289,3.3
315,1292,4.83
316,1294,6.8
317,1295,0
318,1299,3
319,1315,5.6
320,1316,5.33
321,1317,2.67
322,1320,8.25
323,1321,3.5
324,1322,6.42
325,1324,1
326,1325,9
327,1328,3
328,1329,9
329,1331,3
330,1332,6.92
331,1334,3.8
332,1336,5.67
333,1339,6.33
334,1342,3
335,1345,0
336,1346,14.71
337,1349,0
338,1355,4.17
339,1356,5.33
340,1362,3
341,1365,4.88
342,1367,10
343,1372,2.83
344,1375,3.5
345,1380,1
346,1381,1
347,1403,3.82
348,1409,0
349,1414,10.67
350,1419,4.2
351,1426,0
352,1434,8
353,1436,0
354,1439,0
355,1441,3.58
356,1447,0
357,1455,0
358,1463,7.5
359,1464,0
360,1465,0
361,1466,7.43
362,1467,7.71
363,1468,0
364,1484,9.4
365,1491,5.4
366,1494,0
367,1496,7.27
368,1497,3
369,1502,0
370,1511,6.8
371,1513,2.71
372,1518,4.5
373,1520,4.5
374,1522,5.67
375,1524,3.75
376,1525,5
377,1535,5
378,1536,3.17
379,1538,8.44
380,1539,0
381,1544,2
382,1545,0
383,1546,3
384,1548,0
385,1555,0
386,1556,0
387,1557,2.67
388,1558,7.95
389,1563,12.4
390,1566,0
391,1570,0
392,1580,4.61
393,1586,5.83
394,1602,3.25
395,1606,4.67
396,1607,5
397,1618,0
398,1632,0
399,1639,14.33
400,1643,0
401,1646,0
402,1648,5.71
403,1652,0
404,1661,0
405,1662,4
406,1664,0
407,1666,5
408,1667,4.38
409,1668,0
410,1670,0
411,1671,0
412,1673,4.36
413,1678,3
414,1685,14
415,1691,2.75
416,1699,0
417,1701,3.67
418,1705,0
419,1711,6.11
420,1714,1
421,1715,0
422,1716,2.85
423,1721,8
424,1724,4.33
425,1725,0
426,1731,0
427,1732,10.5
428,1736,3.44
429,1740,0
430,1742,0
431,1743,6.67
432,1746,8.29
433,1747,5.5
434,1748,3.2
435,1759,3.75
436,1761,11
437,1775,7.73
438,1778,3.33
439,1781,5.25
440,1782,5.8
441,1787,3
442,1790,0
443,1795,0
444,1796,2
445,1799,0
446,1801,0
447,1811,7.75
448,1816,4.3
449,1819,3.5
450,1821,0
451,1824,0
452,1826,0
453,1827,8.07
454,1840,11.17
455,1844,6.83
456,1849,6.2
457,1851,4.67
458,1857,5.78
459,1862,5
460,1868,5
461,1869,5
462,1873,0
463,1876,3.36
464,1881,2.67
465,1884,7.33
466,1885,4.67
467,1888,6
468,1889,0
469,1890,12.33
470,1893,3
471,1894,3.67
472,1898,4.6
473,1900,3.2
474,1901,0
475,1902,3.5
476,1911,4.5
477,1916,8.67
478,1921,4.6
479,1922,6.83
480,1929,4.36
481,1931,5
482,1933,0
483,1934,0
484,1939,4.09
485,1941,3.67
486,1944,0
487,1946,0
488,1949,6.56
489,1956,3.3
490,1958,1
491,1960,5.56
492,1963,2.67
493,1966,9.08
494,1970,4
495,1975,0
496,1980,0
497,1981,0
498,1985,10.42
499,1997,8.56
500,1999,0
501,2010,3.67
502,2011,3.75
503,2013,6.14
504,2020,5.08
505,2021,0
506,2024,0
507,2027,8.18
508,2033,5.92
509,2037,5.09
510,2041,6
511,2043,0
512,2044,6.2
513,2047,0
514,2048,4
515,2049,2
516,2056,4.33
517,2058,6
518,2061,6.75
519,2064,8.8
520,2069,4
521,2084,6.5
522,2105,0
523,2112,8.89
524,2117,16
525,2122,0
526,2123,0
527,2127,3.48
528,2139,3.09
529,2145,7.27
530,2149,0
531,2150,4.67
532,2157,1.83
533,2159,4.55
534,2161,4.94
535,2163,0
536,2172,7.67
537,2176,4.55
538,2177,2
539,2178,6.33
540,2179,5.38
541,2182,6.5
542,2183,4.14
543,2190,4
544,2196,3
545,2203,4.33
546,2205,7.32
547,2206,3.33
548,2210,4.33
549,2211,3.2
550,2213,5.5
551,2215,4.71
552,2222,2.75
553,2224,0
554,2228,4.6
555,2236,4.38
556,2237,3.84
557,2243,0
558,2247,3.89
559,2252,4.67
560,2260,3.83
561,2261,7.25
562,2269,2.82
563,2275,10.2
564,2279,6.2
565,2282,0
566,2283,2.73
567,2288,4.25
568,2291,0
569,2292,6.67
570,2293,2
571,2295,0
572,2303,6.09
573,2306,2.7
574,2313,7
575,2323,2.89
576,2337,4.33
577,2339,11.67
578,2343,3
579,2346,4.8
580,2349,5.88
581,2352,4.2
582,2353,0
583,2354,0
584,2356,4
585,2361,3.17
586,2364,0
587,2371,0
588,2374,4
589,2375,0
590,2376,6.62
591,2377,6
592,2378,3.75
593,2381,0
594,2384,3.5
595,2385,7.75
596,2386,5.67
597,2389,0
598,2391,3.67
599,2396,4.2
600,2399,0
601,2400,0
602,2403,8
603,2410,3.86
604,2412,0
605,2413,0
606,2414,5.6
607,2415,5.67
608,2416,4
609,2417,7.1
610,2428,6.71
611,2430,3.8
612,2433,10.5
613,2435,0
614,2436,12.67
615,2437,3.1
616,2440,0
617,2442,0
618,2445,0
619,2449,2.89
620,2450,5.33
621,2451,0
622,2453,5
623,2454,0
624,2455,3.33
625,2459,2.68
626,2462,4.92
627,2464,2.75
628,2465,2.21
629,2473,4.33
630,2477,6.2
631,2480,3.62
632,2485,0
633,2495,0
634,2504,5.92
635,2505,2.75
636,2506,3.67
637,2508,0
638,2517,3.5
639,2518,4.8
640,2526,6.8
641,2527,6.36
642,2528,9.11
643,2531,5.38
644,2539,0
645,2543,3
646,2546,3
647,2547,3.33
648,2553,3.62
649,2557,3.3
650,2559,9.36
651,2560,17.33
652,2563,0
653,2565,17.62
654,2568,0
655,2569,4.17
656,2571,6.83
657,2574,4.5
658,2575,2.78
659,2577,4.67
660,2580,7
661,2584,2.78
662,2586,4.25
663,2587,0
664,2592,2.5
665,2595,0
666,2600,9.67
667,2601,0
668,2609,7.57
669,2619,0
670,2621,3.38
671,2624,9.44
672,2626,0
673,2637,3.82
674,2639,9.44
675,2640,0
676,2642,2.8
677,2644,2.86
678,2650,6
679,2654,4.4
680,2659,0
681,2660,0
682,2662,3.43
683,2663,4.43
684,2665,0
685,2671,5.2
686,2672,6
687,2675,6.15
688,2676,6.8
689,2678,6.12
690,2680,3.33
691,2682,5.47
692,2684,4.67
693,2690,6.57
694,2707,1
695,2711,6.17
696,2712,0
697,2718,5.67
698,2721,7.39
699,2722,5.5
700,2726,10.83
701,2727,15
702,2728,8
703,2746,6.22
704,2756,9.6
705,2764,7.83
706,2786,4.57
707,2791,4.42
708,2800,3
709,2801,0
710,2802,4
711,2807,4.38
712,2815,4.5
713,2817,4.38
714,2820,0
715,2823,6.91
716,2828,0
717,2836,6.75
718,2837,4.2
719,2839,3.96
720,2840,0
721,2849,4.44
722,2852,6.86
723,2853,4.25
724,2855,8
725,2856,8.44
726,2867,6.92
727,2868,4.62
728,2872,7.5
729,2874,3.25
730,2882,4.43
731,2883,2.87
732,2885,2.6
733,2891,3.92
734,2893,0
735,2894,7.6
736,2895,0
737,2897,0
738,2904,3.75
739,2907,3.62
740,2910,3.67
741,2911,7.62
742,2917,0
743,2919,0
744,2927,0
745,2928,9
746,2929,3.11
747,2931,17.33
748,2932,2
749,2939,3.67
750,2941,5.8
751,2944,6
752,2946,0
753,2947,5.18
754,2950,0
755,2955,5.67
756,2956,4.33
757,2957,0
758,2958,4.24
759,2968,5.29
760,2976,7.5
761,3000,3.5
762,3007,4.57
763,3011,0
764,3014,4.47
765,3015,4.5
766,3018,4
767,3024,3.86
768,3026,0
769,3027,0
770,3031,3.6
771,3036,0
772,3038,6.31
773,3039,19.5
774,3041,4.4
775,3047,0
776,3048,0
777,3052,7.25
778,3070,9.86
779,3076,4.4
780,3082,0
781,3084,2.67
782,3087,6.43
783,3088,7.08
784,3111,9
785,3119,2.8
786,3126,0
787,3129,3.17
788,3132,0
789,3135,8.33
790,3142,0
791,3143,10.2
792,3150,2.5
793,3153,0
794,3155,7.57
795,3157,4.33
796,3159,0
797,3161,0
798,3163,8.6
799,3164,3.58
800,3171,10
801,3176,10.5
802,3177,6.57
803,3182,3.45
804,3183,0
805,3184,6.14
806,3185,6.6
807,3206,6
808,3213,5.83
809,3219,6.9
810,3234,4.14
811,3240,5.18
812,3242,7.83
813,3247,2.11
814,3248,4.93
815,3250,3.53
816,3253,4.33
817,3256,0
818,3259,10.33
819,3260,6.42
820,3262,4.42
821,3264,3.83
822,3274,0
823,3276,4.75
824,3277,3.67
825,3278,0
826,3281,7
827,3289,0
828,3290,0
829,3292,2.75
830,3304,0
831,3306,4.44
832,3315,5.6
833,3319,4.12
834,3321,6
835,3322,4.1
836,3323,0
837,3325,0
838,3329,1.8
839,3331,0
840,3336,0
841,3343,4.27
842,3350,3.11
843,3351,4.33
844,3354,4.33
845,3361,5
846,3362,0
847,3364,8.18
848,3367,4.27
849,3369,4.75
850,3371,7.2
851,3372,5.91
852,3376,4.25
853,3377,0
854,3378,7
855,3379,8.67
856,3383,5.75
857,3385,2.4
858,3386,0
859,3387,0
860,3388,3.7
861,3391,4.69
862,3395,0
863,3398,8
864,3400,5.86
865,3402,3.5
866,3406,3.6
867,3407,3.5
868,3408,8.67
869,3409,4.33
870,3413,0
871,3417,3.4
872,3418,0
873,3432,0
874,3437,8.46
875,3441,0
876,3442,4.75
877,3446,0
878,3447,10.78
879,3453,3.14
880,3456,5
881,3459,4.5
882,3460,0
883,3462,4.67
884,3465,3.25
885,3466,4.2
886,3473,4.4
887,3474,8.12
888,3489,3.8
889,3490,4.68
890,3494,3.25
891,3495,1
892,3506,0
893,3509,8.45
894,3511,0
895,3512,11.5
896,3514,0
897,3519,5.29
898,3527,16.25
899,3530,4.42
900,3541,12.4
901,3543,3.25
902,3544,3.67
903,3545,6.5
904,3550,4.33
905,3551,2.5
906,3557,7
907,3561,3.83
908,3563,0
909,3566,2.67
910,3568,0
911,3569,8.64
912,3572,4.96
913,3586,0
914,3588,0
915,3592,2.9
916,3594,2.8
917,3596,4.25
918,3597,5.2
919,3598,0
920,3599,5
921,3602,6.4
922,3606,0
923,3608,6.33
924,3612,0
925,3615,0
926,3617,5
927,3618,0
928,3624,3.43
929,3626,0
930,3628,4.35
931,3634,6.2
932,3635,5.09
933,3638,0
934,3639,3
935,3640,8.86
936,3643,2
937,3645,4.06
938,3646,4
939,3648,4.57
940,3650,6.5
941,3651,6.75
942,3652,5.38
943,3655,6
944,3656,4.92
945,3666,7
946,3667,3.38
947,3668,4.33
948,3683,4
949,3687,18
950,3688,6
951,3707,5.71
952,3708,3.67
953,3710,2.5
954,3711,15.33
955,3722,4.35
956,3726,3.79
957,3734,4.73
958,3742,10.71
959,3747,6.83
960,3749,7.67
961,3753,4
962,3755,8
963,3757,0
964,3758,0
965,3759,0
