,codcliente,numero_persone_diverse
1,6,0
2,13,16
3,16,7
4,23,0
5,28,26
6,30,29
7,31,7
8,32,31
9,41,0
10,44,19
11,45,10
12,55,6
13,63,31
14,68,18
15,77,20
16,78,5
17,80,8
18,82,13
19,89,6
20,90,0
21,91,20
22,94,7
23,99,0
24,106,25
25,111,31
26,113,14
27,118,25
28,120,29
29,137,6
30,142,13
31,148,23
32,151,35
33,153,33
34,164,15
35,166,21
36,169,0
37,171,8
38,173,30
39,177,6
40,178,14
41,180,20
42,181,28
43,182,0
44,183,0
45,184,33
46,185,20
47,186,32
48,188,24
49,192,4
50,193,7
51,197,30
52,199,7
53,201,33
54,206,29
55,210,25
56,212,15
57,220,0
58,221,1
59,223,10
60,233,25
61,241,0
62,248,0
63,250,13
64,255,29
65,261,29
66,262,22
67,265,0
68,275,0
69,278,0
70,282,25
71,287,11
72,293,17
73,302,7
74,306,32
75,317,16
76,319,0
77,320,0
78,323,0
79,324,4
80,329,0
81,340,24
82,356,9
83,359,15
84,367,12
85,372,17
86,376,29
87,382,28
88,394,25
89,395,11
90,396,20
91,399,19
92,411,0
93,412,21
94,413,0
95,427,13
96,440,0
97,445,0
98,448,24
99,449,6
100,450,0
101,452,8
102,455,1
103,459,0
104,461,6
105,474,30
106,475,30
107,479,0
108,483,34
109,485,21
110,489,30
111,490,0
112,492,14
113,496,0
114,498,15
115,499,0
116,505,0
117,506,31
118,507,15
119,510,30
120,511,0
121,513,6
122,526,8
123,527,28
124,528,0
125,529,20
126,530,0
127,533,0
128,535,16
129,537,0
130,549,3
131,559,5
132,562,21
133,564,0
134,567,21
135,570,12
136,582,8
137,604,0
138,607,27
139,608,0
140,611,11
141,613,35
142,618,12
143,620,23
144,622,0
145,631,0
146,636,28
147,642,0
148,644,0
149,646,29
150,647,0
151,652,26
152,658,0
153,659,0
154,665,0
155,667,0
156,668,7
157,669,34
158,674,15
159,679,10
160,685,0
161,689,23
162,690,30
163,692,12
164,693,25
165,695,31
166,699,26
167,703,33
168,705,7
169,706,26
170,712,9
171,717,33
172,718,31
173,720,0
174,721,9
175,724,5
176,729,4
177,738,0
178,751,1
179,754,0
180,759,0
181,763,18
182,776,24
183,777,0
184,779,31
185,785,8
186,791,5
187,793,5
188,795,27
189,797,7
190,800,19
191,803,23
192,809,24
193,810,11
194,815,0
195,816,29
196,817,24
197,820,10
198,823,7
199,824,8
200,826,9
201,828,0
202,829,29
203,831,0
204,834,28
205,840,28
206,841,12
207,842,35
208,846,16
209,847,30
210,849,19
211,850,24
212,851,4
213,852,11
214,853,0
215,855,8
216,858,4
217,859,0
218,861,27
219,865,7
220,869,6
221,879,14
222,884,30
223,885,19
224,887,21
225,890,0
226,895,31
227,904,0
228,907,14
229,909,6
230,918,17
231,921,0
232,924,9
233,930,24
234,933,32
235,935,32
236,941,12
237,946,18
238,948,0
239,962,5
240,969,16
241,973,23
242,975,18
243,978,0
244,984,7
245,995,32
246,998,19
247,1016,0
248,1019,20
249,1030,28
250,1036,22
251,1042,26
252,1047,20
253,1049,26
254,1053,26
255,1054,11
256,1062,8
257,1064,0
258,1068,7
259,1078,15
260,1081,15
261,1082,17
262,1089,7
263,1094,31
264,1096,21
265,1099,0
266,1109,24
267,1122,3
268,1125,26
269,1128,24
270,1130,16
271,1133,0
272,1134,14
273,1142,0
274,1148,25
275,1149,0
276,1152,0
277,1156,31
278,1171,0
279,1175,16
280,1178,19
281,1181,0
282,1185,3
283,1187,10
284,1191,16
285,1201,33
286,1202,0
287,1203,26
288,1204,24
289,1212,34
290,1213,29
291,1217,15
292,1225,6
293,1227,0
294,1231,6
295,1232,13
296,1234,29
297,1240,10
298,1242,26
299,1243,34
300,1247,21
301,1251,15
302,1252,4
303,1259,12
304,1260,23
305,1261,17
306,1267,21
307,1276,25
308,1277,31
309,1278,0
310,1280,12
311,1281,26
312,1286,18
313,1287,28
314,1289,15
315,1292,20
316,1294,24
317,1295,0
318,1299,4
319,1315,32
320,1316,11
321,1317,3
322,1320,22
323,1321,15
324,1322,30
325,1324,1
326,1325,26
327,1328,6
328,1329,17
329,1331,18
330,1332,28
331,1334,10
332,1336,12
333,1339,24
334,1342,4
335,1345,0
336,1346,35
337,1349,0
338,1355,11
339,1356,12
340,1362,6
341,1365,19
342,1367,27
343,1372,6
344,1375,7
345,1380,1
346,1381,1
347,1403,20
348,1409,0
349,1414,23
350,1419,25
351,1426,0
352,1434,28
353,1436,0
354,1439,0
355,1441,18
356,1447,0
357,1455,0
358,1463,22
359,1464,0
360,1465,0
361,1466,19
362,1467,20
363,1468,0
364,1484,29
365,1491,17
366,1494,0
367,1496,31
368,1497,5
369,1502,0
370,1511,29
371,1513,22
372,1518,21
373,1520,29
374,1522,25
375,1524,27
376,1525,30
377,1535,16
378,1536,7
379,1538,32
380,1539,0
381,1544,3
382,1545,0
383,1546,6
384,1548,0
385,1555,0
386,1556,0
387,1557,3
388,1558,30
389,1563,29
390,1566,0
391,1570,0
392,1580,21
393,1586,15
394,1602,12
395,1606,9
396,1607,19
397,1618,0
398,1632,0
399,1639,33
400,1643,0
401,1646,0
402,1648,23
403,1652,0
404,1661,0
405,1662,14
406,1664,0
407,1666,16
408,1667,18
409,1668,0
410,1670,0
411,1671,0
412,1673,25
413,1678,6
414,1685,25
415,1691,4
416,1699,0
417,1701,6
418,1705,0
419,1711,33
420,1714,1
421,1715,0
422,1716,18
423,1721,19
424,1724,6
425,1725,0
426,1731,0
427,1732,20
428,1736,26
429,1740,0
430,1742,0
431,1743,29
432,1746,27
433,1747,18
434,1748,8
435,1759,12
436,1761,17
437,1775,28
438,1778,5
439,1781,14
440,1782,12
441,1787,11
442,1790,0
443,1795,0
444,1796,2
445,1799,0
446,1801,0
447,1811,25
448,1816,30
449,1819,8
450,1821,0
451,1824,0
452,1826,0
453,1827,33
454,1840,33
455,1844,22
456,1849,26
457,1851,10
458,1857,31
459,1862,11
460,1868,28
461,1869,11
462,1873,0
463,1876,32
464,1881,5
465,1884,17
466,1885,9
467,1888,20
468,1889,0
469,1890,32
470,1893,7
471,1894,4
472,1898,14
473,1900,5
474,1901,0
475,1902,5
476,1911,7
477,1916,21
478,1921,8
479,1922,29
480,1929,23
481,1931,15
482,1933,0
483,1934,0
484,1939,13
485,1941,11
486,1944,0
487,1946,0
488,1949,31
489,1956,21
490,1958,1
491,1960,21
492,1963,5
493,1966,23
494,1970,15
495,1975,0
496,1980,0
497,1981,0
498,1985,22
499,1997,23
500,1999,0
501,2010,12
502,2011,9
503,2013,30
504,2020,29
505,2021,0
506,2024,0
507,2027,32
508,2033,27
509,2037,17
510,2041,12
511,2043,0
512,2044,17
513,2047,0
514,2048,5
515,2049,3
516,2056,6
517,2058,32
518,2061,16
519,2064,22
520,2069,8
521,2084,23
522,2105,0
523,2112,27
524,2117,20
525,2122,0
526,2123,0
527,2127,34
528,2139,13
529,2145,30
530,2149,0
531,2150,10
532,2157,5
533,2159,35
534,2161,27
535,2163,0
536,2172,18
537,2176,19
538,2177,1
539,2178,20
540,2179,16
541,2182,30
542,2183,9
543,2190,7
544,2196,6
545,2203,10
546,2205,32
547,2206,7
548,2210,24
549,2211,7
550,2213,14
551,2215,18
552,2222,4
553,2224,0
554,2228,34
555,2236,32
556,2237,33
557,2243,0
558,2247,11
559,2252,17
560,2260,11
561,2261,31
562,2269,10
563,2275,31
564,2279,20
565,2282,0
566,2283,18
567,2288,8
568,2291,0
569,2292,14
570,2293,2
571,2295,0
572,2303,34
573,2306,9
574,2313,16
575,2323,21
576,2337,8
577,2339,22
578,2343,5
579,2346,9
580,2349,20
581,2352,11
582,2353,0
583,2354,0
584,2356,13
585,2361,9
586,2364,0
587,2371,0
588,2374,11
589,2375,0
590,2376,28
591,2377,20
592,2378,8
593,2381,0
594,2384,6
595,2385,25
596,2386,13
597,2389,0
598,2391,6
599,2396,8
600,2399,0
601,2400,0
602,2403,22
603,2410,10
604,2412,0
605,2413,0
606,2414,20
607,2415,22
608,2416,16
609,2417,20
610,2428,27
611,2430,12
612,2433,34
613,2435,0
614,2436,27
615,2437,9
616,2440,0
617,2442,0
618,2445,0
619,2449,8
620,2450,12
621,2451,0
622,2453,16
623,2454,0
624,2455,7
625,2459,12
626,2462,27
627,2464,4
628,2465,3
629,2473,15
630,2477,23
631,2480,17
632,2485,0
633,2495,0
634,2504,20
635,2505,4
636,2506,25
637,2508,0
638,2517,6
639,2518,14
640,2526,26
641,2527,32
642,2528,34
643,2531,34
644,2539,0
645,2543,4
646,2546,6
647,2547,6
648,2553,11
649,2557,13
650,2559,26
651,2560,32
652,2563,0
653,2565,35
654,2568,0
655,2569,25
656,2571,28
657,2574,12
658,2575,4
659,2577,26
660,2580,25
661,2584,8
662,2586,13
663,2587,0
664,2592,5
665,2595,0
666,2600,28
667,2601,0
668,2609,28
669,2619,0
670,2621,11
671,2624,28
672,2626,0
673,2637,6
674,2639,27
675,2640,0
676,2642,9
677,2644,7
678,2650,22
679,2654,15
680,2659,0
681,2660,0
682,2662,8
683,2663,18
684,2665,0
685,2671,15
686,2672,15
687,2675,27
688,2676,20
689,2678,25
690,2680,7
691,2682,30
692,2684,14
693,2690,31
694,2707,1
695,2711,16
696,2712,0
697,2718,34
698,2721,29
699,2722,24
700,2726,35
701,2727,30
702,2728,23
703,2746,30
704,2756,34
705,2764,34
706,2786,14
707,2791,32
708,2800,8
709,2801,0
710,2802,13
711,2807,23
712,2815,25
713,2817,15
714,2820,0
715,2823,30
716,2828,0
717,2836,29
718,2837,12
719,2839,33
720,2840,0
721,2849,19
722,2852,29
723,2853,19
724,2855,26
725,2856,27
726,2867,30
727,2868,22
728,2872,22
729,2874,5
730,2882,18
731,2883,19
732,2885,4
733,2891,22
734,2893,0
735,2894,23
736,2895,0
737,2897,0
738,2904,14
739,2907,23
740,2910,20
741,2911,30
742,2917,0
743,2919,0
744,2927,0
745,2928,27
746,2929,6
747,2931,33
748,2932,1
749,2939,13
750,2941,14
751,2944,17
752,2946,0
753,2947,24
754,2950,0
755,2955,26
756,2956,8
757,2957,0
758,2958,23
759,2968,17
760,2976,24
761,3000,14
762,3007,19
763,3011,0
764,3014,27
765,3015,19
766,3018,18
767,3024,15
768,3026,0
769,3027,0
770,3031,9
771,3036,0
772,3038,20
773,3039,26
774,3041,14
775,3047,0
776,3048,0
777,3052,21
778,3070,32
779,3076,16
780,3082,0
781,3084,3
782,3087,17
783,3088,35
784,3111,13
785,3119,5
786,3126,0
787,3129,8
788,3132,0
789,3135,33
790,3142,0
791,3143,30
792,3150,3
793,3153,0
794,3155,26
795,3157,24
796,3159,0
797,3161,0
798,3163,20
799,3164,31
800,3171,24
801,3176,28
802,3177,27
803,3182,23
804,3183,0
805,3184,28
806,3185,31
807,3206,13
808,3213,24
809,3219,20
810,3234,19
811,3240,20
812,3242,18
813,3247,4
814,3248,24
815,3250,24
816,3253,10
817,3256,0
818,3259,24
819,3260,26
820,3262,23
821,3264,14
822,3274,0
823,3276,9
824,3277,6
825,3278,0
826,3281,33
827,3289,0
828,3290,0
829,3292,7
830,3304,0
831,3306,24
832,3315,16
833,3319,29
834,3321,20
835,3322,21
836,3323,0
837,3325,0
838,3329,2
839,3331,0
840,3336,0
841,3343,21
842,3350,11
843,3351,5
844,3354,23
845,3361,27
846,3362,0
847,3364,26
848,3367,6
849,3369,10
850,3371,29
851,3372,24
852,3376,11
853,3377,0
854,3378,31
855,3379,23
856,3383,13
857,3385,3
858,3386,0
859,3387,0
860,3388,17
861,3391,26
862,3395,0
863,3398,14
864,3400,20
865,3402,7
866,3406,8
867,3407,8
868,3408,25
869,3409,11
870,3413,0
871,3417,9
872,3418,0
873,3432,0
874,3437,20
875,3441,0
876,3442,17
877,3446,0
878,3447,31
879,3453,6
880,3456,14
881,3459,8
882,3460,0
883,3462,20
884,3465,16
885,3466,11
886,3473,22
887,3474,22
888,3489,10
889,3490,35
890,3494,6
891,3495,1
892,3506,0
893,3509,26
894,3511,0
895,3512,34
896,3514,0
897,3519,22
898,3527,32
899,3530,30
900,3541,29
901,3543,8
902,3544,8
903,3545,27
904,3550,9
905,3551,6
906,3557,29
907,3561,12
908,3563,0
909,3566,3
910,3568,0
911,3569,29
912,3572,34
913,3586,0
914,3588,0
915,3592,11
916,3594,5
917,3596,11
918,3597,19
919,3598,0
920,3599,10
921,3602,27
922,3606,0
923,3608,34
924,3612,0
925,3615,0
926,3617,10
927,3618,0
928,3624,8
929,3626,0
930,3628,35
931,3634,29
932,3635,21
933,3638,0
934,3639,4
935,3640,29
936,3643,1
937,3645,32
938,3646,16
939,3648,18
940,3650,18
941,3651,7
942,3652,22
943,3655,25
944,3656,22
945,3666,16
946,3667,12
947,3668,11
948,3683,7
949,3687,27
950,3688,24
951,3707,26
952,3708,7
953,3710,3
954,3711,27
955,3722,25
956,3726,27
957,3734,26
958,3742,31
959,3747,24
960,3749,18
961,3753,9
962,3755,28
963,3757,0
964,3758,0
965,3759,0
966,3760,0
967,3762,0
968,3763,18
969,3768,13
970,3773,24
971,3774,22
972,3776,33
973,3778,17
974,3784,0
975,3786,22
976,3793,30
977,3798,28
978,3806,27
979,3808,0
980,3810,0
981,3811,9
982,3814,0
983,3820,19
984,3823,4
985,3824,14
986,3825,27
987,3826,28
988,3830,21
989,3845,0
990,3847,16
991,3850,21
992,3851,16
993,3859,19
994,3867,24
995,3871,5
996,3874,24
997,3876,13
998,3880,7
999,3886,0
1000,3887,11
1001,3892,13
1002,3894,30
1003,3897,30
1004,3900,18
1005,3904,7
1006,3905,30
1007,3906,5
1008,3908,28
1009,3912,29
1010,3917,14
1011,3922,21
1012,3942,0
1013,3943,26
1014,3946,0
1015,3947,11
1016,3950,0
1017,3951,9
1018,3953,30
1019,3961,6
1020,3969,0
1021,3983,34
1022,3991,0
1023,3996,19
1024,3998,20
1025,4003,0
1026,4013,0
1027,4026,25
1028,4032,23
1029,4033,34
1030,4037,9
1031,4040,1
1032,4041,5
1033,4042,23
1034,4045,23
1035,4047,26
1036,4048,21
1037,4057,14
1038,4058,20
1039,4061,0
1040,4062,21
1041,4065,30
1042,4070,29
1043,4071,17
1044,4072,27
1045,4077,13
1046,4079,34
1047,4082,26
1048,4083,12
1049,4086,3
1050,4087,21
1051,4089,11
1052,4091,7
1053,4092,0
1054,4094,30
1055,4104,22
1056,4108,0
1057,4114,0
1058,4116,3
1059,4119,20
1060,4125,0
1061,4127,0
1062,4130,34
1063,4139,15
1064,4141,27
1065,4143,15
1066,4145,27
1067,4148,28
1068,4152,17
1069,4163,20
1070,4165,19
1071,4170,0
1072,4177,32
1073,4178,0
1074,4181,0
1075,4182,9
1076,4184,12
1077,4185,16
1078,4187,17
1079,4188,30
1080,4189,31
1081,4193,32
1082,4200,16
1083,4204,8
1084,4207,25
1085,4208,16
1086,4209,3
1087,4215,30
1088,4218,0
1089,4231,34
1090,4236,33
1091,4245,24
1092,4247,15
1093,4251,24
1094,4253,12
1095,4257,7
1096,4260,10
1097,4262,0
1098,4264,23
1099,4265,0
1100,4266,0
1101,4269,0
1102,4271,0
1103,4272,0
1104,4273,9
1105,4274,21
1106,4275,18
1107,4278,0
1108,4279,11
1109,4286,14
1110,4287,34
1111,4288,0
1112,4292,0
1113,4294,0
1114,4305,25
1115,4310,13
1116,4312,23
1117,4317,0
1118,4320,23
1119,4329,0
1120,4334,0
1121,4335,16
1122,4340,11
1123,4341,9
1124,4345,15
1125,4346,27
1126,4347,24
1127,4348,14
1128,4350,18
1129,4351,19
1130,4352,32
1131,4355,18
1132,4356,0
1133,4359,33
1134,4364,8
1135,4365,1
1136,4366,3
1137,4368,0
1138,4369,9
1139,4378,18
1140,4379,32
1141,4380,10
1142,4381,6
1143,4405,0
1144,4408,21
1145,4409,20
1146,4417,18
1147,4418,18
1148,4422,0
1149,4430,0
1150,4432,10
1151,4434,0
1152,4441,5
1153,4446,22
1154,4459,12
1155,4463,0
1156,4465,18
1157,4469,3
1158,4470,4
1159,4471,0
1160,4480,0
1161,4484,14
1162,4500,11
1163,4503,23
