,codcliente,ingressi_condivisi
1,6,0
2,13,9
3,16,6
4,23,0
5,28,4
6,30,5
7,31,3
8,32,6
9,41,0
10,44,4
11,45,5
12,55,13
13,63,3
14,68,6
15,77,12
16,78,3
17,80,14
18,82,5
19,89,9
20,90,0
21,91,10
22,94,9
23,99,0
24,106,72
25,111,12
26,113,5
27,118,8
28,120,7
29,137,3
30,142,4
31,148,11
32,151,4
33,153,9
34,164,7
35,166,11
36,169,0
37,171,5
38,173,10
39,177,3
40,178,6
41,180,11
42,181,8
43,182,0
44,183,0
45,184,21
46,185,9
47,186,8
48,188,4
49,192,4
50,193,4
51,197,15
52,199,4
53,201,6
54,206,5
55,210,13
56,212,5
57,220,0
58,221,4
59,223,4
60,233,10
61,241,0
62,248,0
63,250,3
64,255,8
65,261,9
66,262,4
67,265,0
68,275,0
69,278,0
70,282,19
71,287,3
72,293,9
73,302,7
74,306,6
75,317,4
76,319,0
77,320,0
78,323,0
79,324,12
80,329,0
81,340,11
82,356,3
83,359,5
84,367,8
85,372,17
86,376,12
87,382,7
88,394,13
89,395,10
90,396,9
91,399,12
92,411,0
93,412,12
94,413,0
95,427,6
96,440,0
97,445,0
98,448,7
99,449,4
100,450,0
101,452,3
102,455,7
103,459,0
104,461,3
105,474,6
106,475,16
107,479,0
108,483,12
109,485,3
110,489,4
111,490,0
112,492,14
113,496,0
114,498,6
115,499,0
116,505,0
117,506,9
118,507,5
119,510,10
120,511,0
121,513,3
122,526,3
123,527,5
124,528,0
125,529,26
126,530,0
127,533,0
128,535,3
129,537,0
130,549,7
131,559,6
132,562,8
133,564,0
134,567,17
135,570,8
136,582,4
137,604,0
138,607,11
139,608,0
140,611,8
141,613,7
142,618,7
143,620,10
144,622,0
145,631,0
146,636,17
147,642,0
148,644,0
149,646,21
150,647,0
151,652,9
152,658,0
153,659,0
154,665,0
155,667,0
156,668,3
157,669,8
158,674,3
159,679,3
160,685,0
161,689,15
162,690,10
163,692,6
164,693,15
165,695,17
166,699,4
167,703,3
168,705,5
169,706,13
170,712,11
171,717,13
172,718,12
173,720,0
174,721,3
175,724,4
176,729,3
177,738,0
178,751,3
179,754,0
180,759,0
181,763,6
182,776,6
183,777,0
184,779,19
185,785,5
186,791,3
187,793,5
188,795,10
189,797,3
190,800,3
191,803,6
192,809,10
193,810,8
194,815,0
195,816,13
196,817,4
197,820,3
198,823,9
199,824,9
200,826,6
201,828,0
202,829,6
203,831,0
204,834,6
205,840,10
206,841,9
207,842,10
208,846,5
209,847,10
210,849,4
211,850,17
212,851,8
213,852,6
214,853,0
215,855,9
216,858,5
217,859,0
218,861,22
219,865,6
220,869,4
221,879,4
222,884,11
223,885,12
224,887,14
225,890,0
226,895,29
227,904,0
228,907,6
229,909,3
230,918,6
231,921,0
232,924,10
233,930,20
234,933,15
235,935,13
236,941,3
237,946,6
238,948,0
239,962,4
240,969,5
241,973,13
242,975,10
243,978,0
244,984,6
245,995,29
246,998,9
247,1016,0
248,1019,6
249,1030,9
250,1036,25
251,1042,4
252,1047,12
253,1049,5
254,1053,11
255,1054,3
256,1062,3
257,1064,0
258,1068,4
259,1078,4
260,1081,12
261,1082,3
262,1089,3
263,1094,14
264,1096,3
265,1099,0
266,1109,10
267,1122,5
268,1125,12
269,1128,4
270,1130,3
271,1133,0
272,1134,4
273,1142,0
274,1148,17
275,1149,0
276,1152,0
277,1156,17
278,1171,0
279,1175,3
280,1178,7
281,1181,0
282,1185,5
283,1187,4
284,1191,8
285,1201,22
286,1202,0
287,1203,16
288,1204,8
289,1212,20
290,1213,14
291,1217,11
292,1225,6
293,1227,0
294,1231,6
295,1232,5
296,1234,14
297,1240,4
298,1242,13
299,1243,27
300,1247,6
301,1251,4
302,1252,4
303,1259,3
304,1260,5
305,1261,4
306,1267,28
307,1276,15
308,1277,5
309,1278,0
310,1280,4
311,1281,11
312,1286,4
313,1287,18
314,1289,10
315,1292,6
316,1294,5
317,1295,0
318,1299,3
319,1315,10
320,1316,3
321,1317,3
322,1320,4
323,1321,10
324,1322,19
325,1324,4
326,1325,4
327,1328,5
328,1329,3
329,1331,10
330,1332,12
331,1334,5
332,1336,3
333,1339,6
334,1342,3
335,1345,0
336,1346,7
337,1349,0
338,1355,6
339,1356,3
340,1362,3
341,1365,8
342,1367,9
343,1372,6
344,1375,4
345,1380,3
346,1381,3
347,1403,11
348,1409,0
349,1414,3
350,1419,10
351,1426,0
352,1434,11
353,1436,0
354,1439,0
355,1441,12
356,1447,0
357,1455,0
358,1463,8
359,1464,0
360,1465,0
361,1466,7
362,1467,7
363,1468,0
364,1484,5
365,1491,5
366,1494,0
367,1496,11
368,1497,4
369,1502,0
370,1511,10
371,1513,14
372,1518,10
373,1520,16
374,1522,9
375,1524,12
376,1525,12
377,1535,7
378,1536,6
379,1538,9
380,1539,0
381,1544,3
382,1545,0
383,1546,3
384,1548,0
385,1555,0
386,1556,0
387,1557,3
388,1558,19
389,1563,10
390,1566,0
391,1570,0
392,1580,28
393,1586,6
394,1602,8
395,1606,3
396,1607,6
397,1618,0
398,1632,0
399,1639,3
400,1643,0
401,1646,0
402,1648,7
403,1652,0
404,1661,0
405,1662,8
406,1664,0
407,1666,5
408,1667,8
409,1668,0
410,1670,0
411,1671,0
412,1673,11
413,1678,3
414,1685,3
415,1691,4
416,1699,0
417,1701,3
418,1705,0
419,1711,9
420,1714,3
421,1715,0
422,1716,20
423,1721,5
424,1724,3
425,1725,0
426,1731,0
427,1732,4
428,1736,16
429,1740,0
430,1742,0
431,1743,9
432,1746,17
433,1747,4
434,1748,5
435,1759,8
436,1761,3
437,1775,15
438,1778,3
439,1781,4
440,1782,5
441,1787,9
442,1790,0
443,1795,0
444,1796,3
445,1799,0
446,1801,0
447,1811,4
448,1816,10
449,1819,4
450,1821,0
451,1824,0
452,1826,0
453,1827,14
454,1840,6
455,1844,6
456,1849,10
457,1851,3
458,1857,18
459,1862,3
460,1868,14
461,1869,3
462,1873,0
463,1876,50
464,1881,6
465,1884,3
466,1885,3
467,1888,8
468,1889,0
469,1890,3
470,1893,5
471,1894,3
472,1898,5
473,1900,5
474,1901,0
475,1902,4
476,1911,4
477,1916,3
478,1921,5
479,1922,6
480,1929,11
481,1931,4
482,1933,0
483,1934,0
484,1939,11
485,1941,6
486,1944,0
487,1946,0
488,1949,9
489,1956,10
490,1958,5
491,1960,9
492,1963,3
493,1966,25
494,1970,7
495,1975,0
496,1980,0
497,1981,0
498,1985,12
499,1997,9
500,1999,0
501,2010,9
502,2011,4
503,2013,7
504,2020,13
505,2021,0
506,2024,0
507,2027,11
508,2033,13
509,2037,11
510,2041,3
511,2043,0
512,2044,5
513,2047,0
514,2048,5
515,2049,6
516,2056,3
517,2058,10
518,2061,4
519,2064,10
520,2069,3
521,2084,6
522,2105,0
523,2112,9
524,2117,4
525,2122,0
526,2123,0
527,2127,27
528,2139,11
529,2145,11
530,2149,0
531,2150,3
532,2157,6
533,2159,11
534,2161,31
535,2163,0
536,2172,3
537,2176,11
538,2177,3
539,2178,15
540,2179,8
541,2182,6
542,2183,7
543,2190,3
544,2196,5
545,2203,3
546,2205,25
547,2206,3
548,2210,9
549,2211,5
550,2213,4
551,2215,7
552,2222,4
553,2224,0
554,2228,15
555,2236,24
556,2237,25
557,2243,0
558,2247,9
559,2252,6
560,2260,6
561,2261,20
562,2269,11
563,2275,10
564,2279,10
565,2282,0
566,2283,11
567,2288,4
568,2291,0
569,2292,3
570,2293,4
571,2295,0
572,2303,11
573,2306,10
574,2313,3
575,2323,28
576,2337,3
577,2339,3
578,2343,4
579,2346,5
580,2349,17
581,2352,5
582,2353,0
583,2354,0
584,2356,6
585,2361,6
586,2364,0
587,2371,0
588,2374,5
589,2375,0
590,2376,8
591,2377,8
592,2378,4
593,2381,0
594,2384,4
595,2385,8
596,2386,3
597,2389,0
598,2391,3
599,2396,5
600,2399,0
601,2400,0
602,2403,5
603,2410,14
604,2412,0
605,2413,0
606,2414,5
607,2415,6
608,2416,9
609,2417,10
610,2428,7
611,2430,15
612,2433,6
613,2435,0
614,2436,3
615,2437,10
616,2440,0
617,2442,0
618,2445,0
619,2449,9
620,2450,3
621,2451,0
622,2453,6
623,2454,0
624,2455,3
625,2459,19
626,2462,26
627,2464,4
628,2465,14
629,2473,6
630,2477,5
631,2480,16
632,2485,0
633,2495,0
634,2504,12
635,2505,4
636,2506,15
637,2508,0
638,2517,8
639,2518,5
640,2526,10
641,2527,11
642,2528,9
643,2531,13
644,2539,0
645,2543,3
646,2546,3
647,2547,3
648,2553,8
649,2557,10
650,2559,14
651,2560,3
652,2563,0
653,2565,8
654,2568,0
655,2569,12
656,2571,6
657,2574,4
658,2575,9
659,2577,9
660,2580,6
661,2584,9
662,2586,4
663,2587,0
664,2592,8
665,2595,0
666,2600,9
667,2601,0
668,2609,7
669,2619,0
670,2621,8
671,2624,9
672,2626,0
673,2637,11
674,2639,9
675,2640,0
676,2642,5
677,2644,7
678,2650,5
679,2654,5
680,2659,0
681,2660,0
682,2662,7
683,2663,7
684,2665,0
685,2671,5
686,2672,3
687,2675,13
688,2676,5
689,2678,8
690,2680,3
691,2682,15
692,2684,6
693,2690,7
694,2707,4
695,2711,6
696,2712,0
697,2718,9
698,2721,23
699,2722,10
700,2726,6
701,2727,8
702,2728,13
703,2746,9
704,2756,5
705,2764,6
706,2786,7
707,2791,19
708,2800,5
709,2801,0
710,2802,5
711,2807,13
712,2815,14
713,2817,8
714,2820,0
715,2823,11
716,2828,0
717,2836,8
718,2837,5
719,2839,26
720,2840,0
721,2849,9
722,2852,7
723,2853,8
724,2855,4
725,2856,9
726,2867,13
727,2868,8
728,2872,6
729,2874,4
730,2882,7
731,2883,23
732,2885,5
733,2891,12
734,2893,0
735,2894,5
736,2895,0
737,2897,0
738,2904,8
739,2907,13
740,2910,15
741,2911,8
742,2917,0
743,2919,0
744,2927,0
745,2928,5
746,2929,9
747,2931,3
748,2932,3
749,2939,9
750,2941,5
751,2944,4
752,2946,0
753,2947,11
754,2950,0
755,2955,6
756,2956,3
757,2957,0
758,2958,38
759,2968,7
760,2976,16
761,3000,10
762,3007,14
763,3011,0
764,3014,15
765,3015,8
766,3018,15
767,3024,7
768,3026,0
769,3027,0
770,3031,5
771,3036,0
772,3038,13
773,3039,4
774,3041,5
775,3047,0
776,3048,0
777,3052,4
778,3070,7
779,3076,5
780,3082,0
781,3084,3
782,3087,7
783,3088,13
784,3111,3
785,3119,5
786,3126,0
787,3129,6
788,3132,0
789,3135,6
790,3142,0
791,3143,5
792,3150,4
793,3153,0
794,3155,7
795,3157,9
796,3159,0
797,3161,0
798,3163,15
799,3164,12
800,3171,4
801,3176,6
802,3177,7
803,3182,11
804,3183,0
805,3184,14
806,3185,20
807,3206,3
808,3213,12
809,3219,31
810,3234,7
811,3240,11
812,3242,6
813,3247,9
814,3248,14
815,3250,15
816,3253,3
817,3256,0
818,3259,6
819,3260,36
820,3262,19
821,3264,6
822,3274,0
823,3276,4
824,3277,3
825,3278,0
826,3281,10
827,3289,0
828,3290,0
829,3292,4
830,3304,0
831,3306,9
832,3315,5
833,3319,16
834,3321,15
835,3322,21
836,3323,0
837,3325,0
838,3329,5
839,3331,0
840,3336,0
841,3343,11
842,3350,9
843,3351,3
844,3354,9
845,3361,8
846,3362,0
847,3364,11
848,3367,11
849,3369,12
850,3371,5
851,3372,11
852,3376,4
853,3377,0
854,3378,6
855,3379,3
856,3383,4
857,3385,5
858,3386,0
859,3387,0
860,3388,10
861,3391,16
862,3395,0
863,3398,4
864,3400,7
865,3402,4
866,3406,5
867,3407,6
868,3408,6
869,3409,6
870,3413,0
871,3417,5
872,3418,0
873,3432,0
874,3437,13
875,3441,0
876,3442,8
877,3446,0
878,3447,9
879,3453,7
880,3456,4
881,3459,4
882,3460,0
883,3462,30
884,3465,12
885,3466,5
886,3473,10
887,3474,8
888,3489,5
889,3490,22
890,3494,4
891,3495,7
892,3506,0
893,3509,11
894,3511,0
895,3512,4
896,3514,0
897,3519,7
898,3527,4
899,3530,12
900,3541,5
901,3543,4
902,3544,3
903,3545,12
904,3550,3
905,3551,10
906,3557,7
907,3561,6
908,3563,0
909,3566,3
910,3568,0
911,3569,11
912,3572,25
913,3586,0
914,3588,0
915,3592,10
916,3594,5
917,3596,4
918,3597,10
919,3598,0
920,3599,3
921,3602,5
922,3606,0
923,3608,21
924,3612,0
925,3615,0
926,3617,4
927,3618,0
928,3624,7
929,3626,0
930,3628,26
931,3634,15
932,3635,11
933,3638,0
934,3639,3
935,3640,7
936,3643,3
937,3645,16
938,3646,6
939,3648,7
940,3650,4
941,3651,4
942,3652,8
943,3655,13
944,3656,12
945,3666,3
946,3667,8
947,3668,6
948,3683,3
949,3687,4
950,3688,7
951,3707,7
952,3708,3
953,3710,4
954,3711,3
955,3722,17
956,3726,14
957,3734,15
958,3742,14
959,3747,12
960,3749,3
961,3753,4
962,3755,5
963,3757,0
964,3758,0
965,3759,0
966,3760,0
967,3762,0
968,3763,10
969,3768,7
970,3773,5
971,3774,3
972,3776,15
973,3778,5
974,3784,0
975,3786,9
976,3793,11
977,3798,8
978,3806,6
979,3808,0
980,3810,0
981,3811,8
982,3814,0
983,3820,7
984,3823,3
985,3824,5
986,3825,9
987,3826,12
988,3830,9
989,3845,0
990,3847,5
991,3850,6
992,3851,3
993,3859,8
994,3867,7
995,3871,3
996,3874,10
997,3876,4
998,3880,6
999,3886,0
1000,3887,10
1001,3892,4
1002,3894,18
1003,3897,8
1004,3900,10
1005,3904,7
1006,3905,6
1007,3906,4
1008,3908,10
1009,3912,8
1010,3917,11
1011,3922,9
1012,3942,0
1013,3943,11
1014,3946,0
1015,3947,5
1016,3950,0
1017,3951,5
1018,3953,16
1019,3961,6
1020,3969,0
1021,3983,10
1022,3991,0
1023,3996,5
1024,3998,11
1025,4003,0
1026,4013,0
1027,4026,11
1028,4032,5
1029,4033,7
1030,4037,6
1031,4040,3
1032,4041,7
1033,4042,5
1034,4045,10
1035,4047,3
1036,4048,11
1037,4057,6
1038,4058,8
1039,4061,0
1040,4062,7
1041,4065,10
1042,4070,6
1043,4071,4
1044,4072,20
1045,4077,5
1046,4079,17
1047,4082,4
1048,4083,12
1049,4086,4
1050,4087,7
1051,4089,8
1052,4091,4
1053,4092,0
1054,4094,4
1055,4104,9
1056,4108,0
1057,4114,0
1058,4116,6
1059,4119,6
1060,4125,0
1061,4127,0
1062,4130,10
1063,4139,7
1064,4141,3
1065,4143,14
1066,4145,10
1067,4148,12
1068,4152,7
1069,4163,5
1070,4165,9
1071,4170,0
1072,4177,7
1073,4178,0
1074,4181,0
1075,4182,3
1076,4184,3
1077,4185,18
1078,4187,3
1079,4188,17
1080,4189,15
1081,4193,7
1082,4200,18
1083,4204,3
1084,4207,6
1085,4208,5
1086,4209,3
1087,4215,24
1088,4218,0
1089,4231,11
1090,4236,16
1091,4245,8
1092,4247,14
1093,4251,15
1094,4253,5
1095,4257,10
1096,4260,8
1097,4262,0
1098,4264,5
1099,4265,0
1100,4266,0
1101,4269,0
1102,4271,0
1103,4272,0
1104,4273,7
1105,4274,11
1106,4275,10
1107,4278,0
1108,4279,6
1109,4286,4
1110,4287,8
1111,4288,0
1112,4292,0
1113,4294,0
1114,4305,3
1115,4310,26
1116,4312,6
1117,4317,0
1118,4320,19
1119,4329,0
1120,4334,0
1121,4335,3
1122,4340,6
1123,4341,6
1124,4345,8
1125,4346,5
1126,4347,4
1127,4348,3
1128,4350,4
1129,4351,20
1130,4352,17
1131,4355,6
1132,4356,0
1133,4359,4
1134,4364,7
1135,4365,4
1136,4366,3
1137,4368,0
1138,4369,5
1139,4378,3
1140,4379,26
1141,4380,7
1142,4381,5
1143,4405,0
1144,4408,3
1145,4409,5
1146,4417,4
1147,4418,12
1148,4422,0
1149,4430,0
1150,4432,3
1151,4434,0
1152,4441,6
1153,4446,15
1154,4459,4
1155,4463,0
1156,4465,10
1157,4469,4
1158,4470,5
1159,4471,0
1160,4480,0
1161,4484,3
1162,4500,8
1163,4503,3
1164,4507,10
1165,4508,16
1166,4513,0
1167,4519,22
1168,4524,15
1169,4526,11
1170,4527,13
1171,4528,0
1172,4536,15
1173,4539,12
1174,4545,11
1175,4546,0
1176,4547,0
1177,4552,0
1178,4553,8
1179,4554,5
1180,4556,0
1181,4569,0
1182,4577,3
1183,4582,0
1184,4583,15
1185,4584,27
1186,4592,7
1187,4597,6
1188,4600,23
1189,4602,5
1190,4615,4
1191,4623,7
1192,4625,8
1193,4626,11
1194,4628,6
1195,4636,3
1196,4641,9
1197,4645,4
1198,4652,3
1199,4653,13
1200,4661,9
1201,4665,23
1202,4667,5
1203,4671,5
1204,4672,13
1205,4675,4
1206,4676,0
1207,4678,12
1208,4680,0
1209,4681,0
1210,4686,12
1211,4688,14
1212,4691,3
1213,4695,8
1214,4697,5
1215,4702,6
1216,4707,0
1217,4708,3
1218,4710,9
1219,4713,7
1220,4716,3
1221,4719,8
1222,4721,3
1223,4744,12
